firstName,secondName,dateOfBirth,inn,phoneNumber,bankAccount,balance
Daulet,nURMAN,1970-03-05,734043838,555-1111,ACC111111,950,00
Erbol,Asankanov,1967-12-29,205207549,555-2222,ACC222222,49050,00
Eliza,Lewis,2005-06-25,444645924,555-8615,ACC150472,499181445911,00
Anthony,Preston,1989-06-26,462220465,555-6064,ACC870611,573787157969,00
Daniel,Norman,1957-03-19,618766042,555-7617,ACC687200,633447790121,00
Jennifer,Lee,2000-10-07,283274435,555-8323,ACC632446,501946449163,00
Carrie,Scott,1988-12-21,105476051,555-8365,ACC846545,537933204848,00
Brandy,Leon,1957-10-28,709354641,555-4578,ACC428731,190156122085,00
Kathryn,Lopez,1940-05-19,752628359,555-3513,ACC540662,844479193955,00
Brandon,Harrington,1949-01-26,538841821,555-1458,ACC556345,344094368124,00
Daniel,Walton,1944-03-21,780431437,555-3936,ACC635385,68026904275,00
Brittany,Brown,1977-10-27,546850469,555-6782,ACC646784,66504265523,00
Daulet,Cannon,1952-01-14,782917893,555-8253,ACC904417,268545161107,00
Doris,Stewart,1975-05-21,829437762,555-9013,ACC232591,96298872118,00
Daniel,Lynch,1974-04-16,470446051,555-3307,ACC664603,211591462881,00
Julie,Garcia,1948-12-29,867159842,555-3614,ACC778969,116474413781,00
Wendy,Shaw,2003-02-19,186496842,555-2758,ACC590788,190037366869,00
Timothy,Chandler,1996-12-08,331548868,555-1755,ACC633693,408338603096,00
Richard,Anderson,1934-04-11,189223214,555-9107,ACC936680,996774959162,00
Robert,Holt,1982-02-23,154269470,555-4058,ACC272659,144208526322,00
Wendy,Griffin,1983-03-19,550657200,555-7288,ACC555848,500494481350,00
Diane,Rodgers,2003-11-09,931954600,555-2359,ACC799597,308375294142,00
Natalie,Beltran,1981-12-10,845680254,555-5208,ACC483101,699815733261,00
Sean,Washington,1991-03-09,493282761,555-6032,ACC809565,948190239026,00
Wesley,Sims,1937-08-06,397156509,555-1633,ACC966646,424677131402,00
Phillip,Moody,1967-12-18,152993958,555-8214,ACC222137,398573218499,00
Christie,Nelson,1942-06-10,685625091,555-3807,ACC327483,400579299841,00
Deborah,Williams,1968-08-27,399841407,555-6198,ACC764234,206834602180,00
Daulet,Nurman,1970-03-05,734043838,555-3259,ACC412698,819972158427,00
Steven,Carroll,1967-12-29,205207549,555-5657,ACC537180,953707992249,00
Elizabeth,Lewis,2005-06-25,444645924,555-8615,ACC150472,499181445911,00
Anthony,Preston,1989-06-26,462220465,555-6064,ACC870611,573787157969,00
Daniel,Norman,1957-03-19,618766042,555-7617,ACC687200,633447790121,00
Jennifer,Lee,2000-10-07,283274435,555-8323,ACC632446,501946449163,00
Carrie,Scott,1988-12-21,105476051,555-8365,ACC846545,537933204848,00
Brandy,Leon,1957-10-28,709354641,555-4578,ACC428731,190156122085,00
Kathryn,Lopez,1940-05-19,752628359,555-3513,ACC540662,844479193955,00
Brandon,Harrington,1949-01-26,538841821,555-1458,ACC556345,344094368124,00
Daniel,Walton,1944-03-21,780431437,555-3936,ACC635385,68026904275,00
Brittany,Brown,1977-10-27,546850469,555-6782,ACC646784,66504265523,00
Colleen,Cannon,1952-01-14,782917893,555-8253,ACC904417,268545161107,00
Doris,Stewart,1975-05-21,829437762,555-9013,ACC232591,96298872118,00
Daniel,Lynch,1974-04-16,470446051,555-3307,ACC664603,211591462881,00
Julie,Garcia,1948-12-29,867159842,555-3614,ACC778969,116474413781,00
Wendy,Shaw,2003-02-19,186496842,555-2758,ACC590788,190037366869,00
Timothy,Chandler,1996-12-08,331548868,555-1755,ACC633693,408338603096,00
Richard,Anderson,1934-04-11,189223214,555-9107,ACC936680,996774959162,00
Robert,Holt,1982-02-23,154269470,555-4058,ACC272659,144208526322,00
Wendy,Griffin,1983-03-19,550657200,555-7288,ACC555848,500494481350,00
Diane,Rodgers,2003-11-09,931954600,555-2359,ACC799597,308375294142,00
Natalie,Beltran,1981-12-10,845680254,555-5208,ACC483101,699815733261,00
Sean,Washington,1991-03-09,493282761,555-6032,ACC809565,948190239026,00
Wesley,Sims,1937-08-06,397156509,555-1633,ACC966646,424677131402,00
Phillip,Moody,1967-12-18,152993958,555-8214,ACC222137,398573218499,00
Christie,Nelson,1942-06-10,685625091,555-3807,ACC327483,400579299841,00
Deborah,Williams,1968-08-27,399841407,555-6198,ACC764234,206834602180,00
